model,arch_seed,env_seed,robustness,selector_focus_conflict,degradation_conflict
gw_lite,1,2,0.4619857838803537,0.3420122807955368,0.015941444746284783
gw_lite,1,3,0.4619857838803537,0.3420122807955368,0.015941444746284783
gw_lite,2,0,0.6070749865544232,0.2864317335646587,0.00248442063492349
gw_lite,2,1,0.6070749865544232,0.2864317335646587,0.00248442063492349
gw_lite,2,2,0.6070749865544232,0.2864317335646587,0.00248442063492349
gw_lite,2,3,0.6070749865544232,0.2864317335646587,0.00248442063492349
gw_lite,3,0,0.5449208629525694,0.39033822936325907,-0.010061513275319345
gw_lite,3,1,0.5449208629525694,0.39033822936325907,-0.010061513275319345
gw_lite,3,2,0.5449208629525694,0.39033822936325907,-0.010061513275319345
gw_lite,3,3,0.5449208629525694,0.39033822936325907,-0.010061513275319345
humphrey_barrett,0,0,0.9996172981247607,0.25,0.0
humphrey_barrett,0,1,0.9996172981247607,0.25,0.0
humphrey_barrett,0,2,0.9996172981247607,0.25,0.0
humphrey_barrett,0,3,0.9996172981247607,0.25,0.0
humphrey_barrett,1,0,0.9996172981247607,0.25,0.0
humphrey_barrett,1,1,0.9996172981247607,0.25,0.0
humphrey_barrett,1,2,0.9996172981247607,0.25,0.0
humphrey_barrett,1,3,0.9996172981247607,0.25,0.0
humphrey_barrett,2,0,0.9996172981247607,0.25,0.0
humphrey_barrett,2,1,0.9996172981247607,0.25,0.0
humphrey_barrett,2,2,0.9996172981247607,0.25,0.0
humphrey_barrett,2,3,0.9996172981247607,0.25,0.0
humphrey_barrett,3,0,0.9996172981247607,0.25,0.0
humphrey_barrett,3,1,0.9996172981247607,0.25,0.0
humphrey_barrett,3,2,0.9996172981247607,0.25,0.0
humphrey_barrett,3,3,0.9996172981247607,0.25,0.0
humphrey,0,0,0.9784886904848249,0.25,0.0
humphrey,0,1,0.9784886904848249,0.25,0.0
humphrey,0,2,0.9784886904848249,0.25,0.0
humphrey,0,3,0.9784886904848249,0.25,0.0
humphrey,1,0,0.9784886904848249,0.25,0.0
humphrey,1,1,0.9784886904848249,0.25,0.0
humphrey,1,2,0.9784886904848249,0.25,0.0
humphrey,1,3,0.9784886904848249,0.25,0.0
humphrey,2,0,0.9784886904848249,0.25,0.0
humphrey,2,1,0.9784886904848249,0.25,0.0
humphrey,2,2,0.9784886904848249,0.25,0.0
humphrey,2,3,0.9784886904848249,0.25,0.0
humphrey,3,0,0.9784886904848249,0.25,0.0
humphrey,3,1,0.9784886904848249,0.25,0.0
humphrey,3,2,0.9784886904848249,0.25,0.0
humphrey,3,3,0.9784886904848249,0.25,0.0
recon,0,0,0.0,0.25,0.0
recon,0,1,0.0,0.25,0.0
recon,0,2,0.0,0.25,0.0
recon,0,3,0.0,0.25,0.0
recon,1,0,0.0,0.25,0.0
recon,1,1,0.0,0.25,0.0
recon,1,2,0.0,0.25,0.0
recon,1,3,0.0,0.25,0.0
recon,2,0,0.0,0.25,0.0
recon,2,1,0.0,0.25,0.0
recon,2,2,0.0,0.25,0.0
recon,2,3,0.0,0.25,0.0
recon,3,0,0.0,0.25,0.0
recon,3,1,0.0,0.25,0.0
recon,3,2,0.0,0.25,0.0
recon,3,3,0.0,0.25,0.0
