seed,condition,env_name,lesion_mode,help_rate_when_partner_distressed,partner_recovery_rate,mutual_viability,rescue_latency,self_cost_of_help,episode_joint_longevity,partner_final_energy,partner_peak_energy,self_final_energy,joint_homeostatic_margin
15,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
15,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
15,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
15,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
16,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
16,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
16,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
16,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
17,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
17,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
17,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
17,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
18,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
18,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
18,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
18,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
19,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
19,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
19,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
19,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
20,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
20,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
20,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
20,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
21,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
21,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
21,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
21,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
22,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
22,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
22,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
22,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
23,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
23,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
23,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
23,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
24,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
24,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
24,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
24,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
25,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
25,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
25,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
25,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
26,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
26,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
26,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
26,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
27,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
27,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
27,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
27,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
28,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
28,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
28,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
28,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
29,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
29,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
29,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
29,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
30,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
30,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
30,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
30,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
31,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
31,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
31,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
31,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
32,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
32,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
32,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
32,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
33,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
33,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
33,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
33,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
34,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
34,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
34,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
34,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
35,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
35,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
35,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
35,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
36,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
36,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
36,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
36,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
37,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
37,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
37,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
37,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
38,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
38,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
38,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
38,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
39,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
39,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
39,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
39,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
40,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
40,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
40,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
40,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
41,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
41,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
41,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
41,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
42,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
42,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
42,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
42,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
43,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
43,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
43,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
43,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
44,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
44,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
44,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
44,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
45,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
45,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
45,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
45,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
46,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
46,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
46,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
46,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
47,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
47,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
47,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
47,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
48,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
48,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
48,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
48,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
49,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
49,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
49,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
49,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
50,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
50,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
50,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
50,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
51,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
51,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
51,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
51,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
52,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
52,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
52,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
52,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
53,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
53,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
